			Number of Nodes 	Number of edges 	Network Density
adipose_tissue.gz	1422			4275		0.0042
adrenal_cortex.gz	1090			2370		0.0040
adrenal_gland.gz	1938			8827		0.0047
all_tissues.gz		5127			138465		0.0105
amygdala.gz		1973			7436		0.0038
aorta.gz		1593			4373		0.0034
artery.gz		1465			3987		0.0037
astrocyte.gz		1088			2113		0.0036
b_lymphocyte.gz		1044			2993		0.0055
basal_ganglion.gz	2080			9703		0.0045
basophil.gz		643			1423		0.0069
blood.gz		2574			23141		0.0070
blood_plasma.gz		1799			9575		0.0059
blood_platelet.gz	964			2614		0.0056
blood_vessel.gz		1374			5553		0.0059
bone.gz			1162			2575		0.0038
bone_marrow.gz		1415			5747		0.0057
brain.gz		2889			26135		0.0063
bronchial_epithelial_cell.gz	1023			1811		0.0035
bronchus.gz		1019			1879		0.0036
cardiac_muscle.gz	910			1595		0.0039
cartilage.gz		1627			5037		0.0038
caudate_nucleus.gz	1951			7704		0.0040
caudate_putamen.gz	1993			9406		0.0047
cecum.gz		1656			4515		0.0033
central_nervous_system.gz	2919			25973		0.0061
cerebellar_cortex.gz	945			1589		0.0036
cerebellum.gz		1964			8920		0.0046
cerebral_cortex.gz	2077			10361		0.0048
chondrocyte.gz		1302			2821		0.0033
choroid.gz		604			1146		0.0063
cochlea.gz		305			525		0.0113
colon.gz		1829			5870		0.0035
cornea.gz		1178			2725		0.0039
corpus_callosum.gz	1761			5717		0.0037
corpus_luteum.gz	698			1295		0.0053
corpus_striatum.gz	2039			8638		0.0042
culture_condition_cd8_cell.gz	953			2536		0.0056
dendritic_cell.gz	1450			7349		0.0070
dentate_gyrus.gz	678			1009		0.0044
diencephalon.gz		2232			11801		0.0047
duodenum.gz		1050			2127		0.0039
ear.gz			867			1883		0.0050
embryo.gz		1546			5908		0.0049
eosinophil.gz		1056			3297		0.0059
epidermis.gz		1427			4358		0.0043
esophagus.gz		1484			3489		0.0032
eye.gz			1906			10244		0.0056
fetus.gz		2450			11938		0.0040
forebrain.gz		2164			12205		0.0052
frontal_lobe.gz		1911			9821		0.0054
gastrointestinal_tract.gz	2099			8117		0.0037
glia.gz			1215			2635		0.0036
granulocyte.gz		1046			3541		0.0065
hair_follicle.gz	1241			2228		0.0029
heart.gz		2062			8914		0.0042
hepatocyte.gz		1059			1713		0.0031
hippocampus.gz		1964			8860		0.0046
hypophysis.gz		1668			6520		0.0047
hypothalamus.gz		1302			3458		0.0041
ileum.gz		977			2028		0.0043
intestine.gz		2024			7495		0.0037
jejunum.gz		1008			2210		0.0044
keratinocyte.gz		1513			3696		0.0032
kidney.gz		2233			9246		0.0037
large_intestine.gz	1971			7190		0.0037
lens.gz			712			1181		0.0047
leukocyte.gz		2156			15770		0.0068
liver.gz		1889			6383		0.0036
locus_ceruleus.gz	594			937		0.0053
lung.gz			2116			8491		0.0038
lymph_node.gz		1899			8708		0.0048
lymphocyte.gz		1585			7837		0.0062
macrophage.gz		1282			5081		0.0062
mammary_epithelium.gz	1112			2085		0.0034
mammary_gland.gz	1278			3256		0.0040
mast_cell.gz		977			2700		0.0057
medulla_oblongata.gz	1845			7254		0.0043
megakaryocyte.gz	1015			2816		0.0055
midbrain.gz		1941			7162		0.0038
monocyte.gz		1281			7911		0.0096
mononuclear_phagocyte.gz	1316			8295		0.0096
