			Number of Nodes 	Number of edges 	Network Density
adipose_tissue.gz	7453			72220		0.0026
adrenal_cortex.gz	7867			40856		0.0013
adrenal_gland.gz	659			557		0.0026
all_tissues.gz	9484			185877		0.0041
amygdala.gz	536			457		0.0032
aorta.gz	12742			195830		0.0024
artery.gz	3760			23776		0.0034
astrocyte.gz	18101			3820480		0.0233
b_lymphocyte.gz	4602			54728		0.0052
basal_ganglion.gz	265			163		0.0047
basophil.gz	20042			15464189		0.0770
blood.gz	4083			57008		0.0068
blood_plasma.gz	2114			11465		0.0051
blood_platelet.gz	4293			49346		0.0054
blood_vessel.gz	3177			36530		0.0072
bone.gz	4793			67224		0.0059
bone_marrow.gz	2190			13787		0.0058
brain.gz	1577			5514		0.0044
bronchial_epithelial_cell.gz	13997			345242		0.0035
bronchus.gz	11793			206740		0.0030
cardiac_muscle.gz	8785			151118		0.0039
cartilage.gz	5909			39244		0.0022
caudate_nucleus.gz	758			768		0.0027
caudate_putamen.gz	3822			4713		0.0006
cecum.gz	17094			1128642		0.0077
central_nervous_system.gz	1682			6382		0.0045
cerebellar_cortex.gz	12742			184983		0.0023
cerebellum.gz	289			187		0.0045
cerebral_cortex.gz	207			123		0.0058
chondrocyte.gz	13074			184307		0.0022
choroid.gz	17253			1147638		0.0077
cochlea.gz	20590			66277134		0.3127
colon.gz	1630			4230		0.0032
cornea.gz	6419			110409		0.0054
corpus_callosum.gz	1345			2173		0.0024
corpus_luteum.gz	15021			535100		0.0047
corpus_striatum.gz	531			369		0.0026
culture_condition_cd8_cell.gz	18588			4500787		0.0261
dendritic_cell.gz	13520			436791		0.0048
dentate_gyrus.gz	15076			589701		0.0052
diencephalon.gz	408			266		0.0032
duodenum.gz	9697			105338		0.0022
ear.gz	19041			8991564		0.0496
embryo.gz	1554			5741		0.0048
eosinophil.gz	8408			181158		0.0051
epidermis.gz	2105			11427		0.0052
esophagus.gz	6679			15056		0.0007
eye.gz	631			1197		0.0060
fetus.gz	1473			6711		0.0062
forebrain.gz	195			116		0.0061
frontal_lobe.gz	1854			1665		0.0010
gastrointestinal_tract.gz	1387			3421		0.0036
glia.gz	16272			1259263		0.0095
granulocyte.gz	4314			57870		0.0062
hair_follicle.gz	6306			59662		0.0030
heart.gz	1455			3815		0.0036
hepatocyte.gz	18898			1411499		0.0079
hippocampus.gz	507			359		0.0028
hypophysis.gz	2671			3822		0.0011
hypothalamus.gz	16919			387320		0.0027
ileum.gz	17327			1695433		0.0113
intestine.gz	1382			3813		0.0040
jejunum.gz	16675			4371857		0.0314
keratinocyte.gz	3215			15212		0.0029
kidney.gz	1745			5834		0.0038
large_intestine.gz	1510			2664		0.0023
lens.gz	18672			8106533		0.0465
leukocyte.gz	4319			72023		0.0077
liver.gz	1414			5121		0.0051
locus_ceruleus.gz	20525			23899604		0.1135
lung.gz	2064			7963		0.0037
lymph_node.gz	1530			2601		0.0022
lymphocyte.gz	4132			46144		0.0054
macrophage.gz	4222			44405		0.0050
mammary_epithelium.gz	12706			159387		0.0020
mammary_gland.gz	2714			21171		0.0058
mast_cell.gz	13861			250314		0.0026
medulla_oblongata.gz	10742			73023		0.0013
megakaryocyte.gz	3949			37830		0.0049
midbrain.gz	590			432		0.0025
monocyte.gz	4022			58342		0.0072
mononuclear_phagocyte.gz	3891			55189		0.0073
muscle.gz	2096			2954		0.0013
myometrium.gz	12428			260076		0.0034
natural_killer_cell.gz	16857			745227		0.0052
nephron.gz	2885			8660		0.0021
nervous_system.gz	1777			7195		0.0046
neuron.gz	12463			96601		0.0012
neutrophil.gz	4469			50445		0.0051
nucleus_accumbens.gz	16005			411047		0.0032
occipital_lobe.gz	5629			11631		0.0007
occipital_pole.gz	16767			2685856		0.0191
osteoblast.gz	8816			208761		0.0054
ovarian_follicle.gz	13649			291905		0.0031
ovary.gz	1990			7930		0.0040
oviduct.gz	9578			56192		0.0012
pancreas.gz	1157			1997		0.0030
pancreatic_islet.gz	11826			98668		0.0014
parietal_lobe.gz	19651			24455336		0.1267
peripheral_nervous_system.gz	12730			240855		0.0030
placenta.gz	2096			17245		0.0079
podocyte.gz	19328			6324482		0.0339
pons.gz	19915			14014383		0.0707
prostate_gland.gz	1675			3210		0.0023
renal_glomerulus.gz	4419			21349		0.0022
renal_tubule.gz	9396			59839		0.0014
retina.gz	506			449		0.0035
salivary_gland.gz	2718			9702		0.0026
serum.gz	1157			1731		0.0026
skeletal_muscle.gz	958			1329		0.0029
skin.gz	1661			7969		0.0058
skin_fibroblast.gz	5938			28736		0.0016
small_intestine.gz	693			1120		0.0047
smooth_muscle.gz	5528			40187		0.0026
spermatid.gz	14791			331861		0.0030
spermatocyte.gz	15985			642154		0.0050
spermatogonium.gz	16038			645067		0.0050
spinal_cord.gz	330			232		0.0043
spleen.gz	1732			4441		0.0030
stomach.gz	559			654		0.0042
substantia_nigra.gz	627			518		0.0026
subthalamic_nucleus.gz	1770			4560		0.0029
t_lymphocyte.gz	3705			30692		0.0045
tear_gland.gz	5253			18383		0.0013
telencephalon.gz	238			144		0.0051
temporal_lobe.gz	332			197		0.0036
testis.gz	2271			9648		0.0037
thalamus.gz	1009			1174		0.0023
thymocyte.gz	8587			108853		0.0030
thyroid_gland.gz	1773			3310		0.0021
tonsil.gz	10071			55936		0.0011
tooth.gz	11242			158605		0.0025
trachea.gz	5354			16007		0.0011
trophoblast.gz	8059			190523		0.0059
umbilical_cord.gz	3674			34536		0.0051
umbilical_vein_endothelial_cell.gz	5485			88145		0.0059
urinary_bladder.gz	17742			847721		0.0054
uroepithelium.gz	12287			164201		0.0022
uterine_cervix.gz	6474			36088		0.0017
uterine_endometrium.gz	5057			82420		0.0064
uterus.gz	2011			13288		0.0066
vascular_endothelial_cell.gz	4239			48849		0.0054
vascular_endothelium.gz	4183			59827		0.0068
vermiform_appendix.gz	17258			1601958		0.0108
