			Number of Nodes 	Number of Edges 	Network Density
adipose_tissue_top.gz	25825			98052742		0.2941
adrenal_cortex_top.gz	25825			83588204		0.2507
adrenal_gland_top.gz	25825			107899196		0.3236
all_tissues_top.gz	25689			38903547		0.1179
amygdala_top.gz		25825			94797384		0.2843
aorta_top.gz		25825			187634226		0.5627
artery_top.gz		25825			84648460		0.2539
astrocyte_top.gz	25825			223241792		0.6695
b_lymphocyte_top.gz	25825			66634848		0.1998
basal_ganglion_top.gz	25825			96100256		0.2882
basophil_top.gz		25825			245396616		0.7359
blood_plasma_top.gz	25825			83707873		0.2510
blood_platelet_top.gz	25825			64315110		0.1929
blood_top.gz		25689			34614307		0.1049
blood_vessel_top.gz	25825			70240269		0.2106
bone_marrow_top.gz	25825			61848389		0.1855
bone_top.gz		25825			69300028		0.2078
brain_top.gz		25689			41668864		0.1263
bronchial_epithelial_cell_top.gz	25825			90720195		0.2721
bronchus_top.gz		25825			84505542		0.2534
cardiac_muscle_top.gz	25825			81111126		0.2432
cartilage_top.gz	25825			100474969		0.3013
caudate_nucleus_top.gz	25825			98646363		0.2958
caudate_putamen_top.gz	25825			194000460		0.5818
cecum_top.gz		25825			200131349		0.6002
central_nervous_system_top.gz	25689			41193318		0.1248
cerebellar_cortex_top.gz	25825			102030822		0.3060
cerebellum_top.gz	25825			77431143		0.2322
cerebral_cortex_top.gz	25825			90094698		0.2702
chondrocyte_top.gz	25825			99841739		0.2994
choroid_top.gz		25825			124755049		0.3741
cochlea_top.gz		25825			282977319		0.8486
colon_top.gz		25825			65271825		0.1957
cornea_top.gz		25825			67768825		0.2032
corpus_callosum_top.gz	25825			86964216		0.2608
corpus_luteum_top.gz	25825			103036573		0.3090
corpus_striatum_top.gz	25825			95741241		0.2871
culture_condition_cd8_cell_top.gz	25825			234466686		0.7031
dendritic_cell_top.gz	25825			216613384		0.6496
dentate_gyrus_top.gz	25825			92401150		0.2771
diencephalon_top.gz	25825			127413854		0.3821
duodenum_top.gz		25825			91257033		0.2737
ear_top.gz		25825			247919693		0.7435
embryo_top.gz		25825			76379135		0.2291
eosinophil_top.gz	25825			82494664		0.2474
epidermis_top.gz	25825			82892211		0.2486
